X,Y,Z,channels
0.076804984,-0.027246864,0.048895435,CCP6h
0.083932922,-0.031360527,0.01412927,TTP8h
0.086742348,-0.037220432,-0.019862559,TTP10h
-0.076833065,-0.061911204,-0.014733083,TPP9h
-0.076894746,-0.059536575,0.017799059,TPP7h
-0.069554616,-0.059304679,0.050608254,CPP5h
-0.047996914,-0.058487909,0.075863615,CPP3h
-0.016879391,-0.057730248,0.088693686,CPP1h
0.017383712,-0.057601385,0.088612002,CPP2h
0.048006371,-0.058458167,0.074752586,CPP4h
0.068581937,-0.059571996,0.049428522,CPP6h
0.075678862,-0.060189469,0.017874546,TPP8h
0.075457271,-0.063309367,-0.013917232,TPP10h
-0.063663721,-0.086957281,-0.00864501,PPO9h
-0.063585551,-0.085483589,0.020123891,PPO7h
-0.054961072,-0.085937782,0.042781417,PPO5h
-0.037319061,-0.08665057,0.060270846,PPO3h
-0.013507697,-0.086483153,0.068991683,PPO1h
0.012084646,-0.086118842,0.0695329,PPO2h
0.035594722,-0.08624887,0.060331627,PPO4h
0.052337955,-0.086318434,0.042510827,PPO6h
0.060803009,-0.086016133,0.02038067,PPO8h
0.061501778,-0.087826421,-0.007936536,PPO10h
-0.042611206,-0.105568742,-0.002219152,POO9h
-0.040913932,-0.10424961,0.020737924,POO7h
-0.032924842,-0.104440776,0.030807872,POO5h
-0.021200678,-0.105121167,0.037453292,POO3h
-0.008447011,-0.105556315,0.040488524,POO1h
0.005188062,-0.105956278,0.039781371,POO2h
0.018472624,-0.105415443,0.036779517,POO4h
0.029969548,-0.104722229,0.030100549,POO6h
0.038473538,-0.104058246,0.02056291,POO8h
0.040259825,-0.105790934,-0.002125262,POO10h
-0.015874029,-0.115425016,0.004223851,OI1h
0.013170878,-0.115151805,0.004260007,OI2h
-0.014135779,0.083588056,-0.009297305,Fp1h
0.016083783,0.083753951,-0.009403976,Fp2h
-0.054582794,0.061191622,-0.029567265,AF9h
-0.050086057,0.066276004,-0.006368945,AF7h
-0.039243259,0.07272718,0.007912581,AF5h
-0.026518348,0.076479735,0.020602698,AF3h
-0.008653763,0.078958818,0.026906285,AF1h
0.010941807,0.078952978,0.027155919,AF2h
0.028775053,0.075959362,0.020643422,AF4h
0.041400261,0.072017392,0.008079084,AF6h
0.051623598,0.065231768,-0.00637984,AF8h
0.055942087,0.059248982,-0.029216441,AF10h
-0.070837173,0.035714897,-0.028488688,F9h
-0.067347803,0.04191937,-0.000302441,F7h
-0.057341949,0.049104395,0.023985499,F5h
-0.039271449,0.055301748,0.044174186,F3h
-0.013282696,0.059688949,0.056030112,F1h
0.015828633,0.059503819,0.056230104,F2h
0.041349746,0.055295401,0.043525483,F4h
0.059071788,0.048780861,0.022876074,F6h
0.068925707,0.039953163,-0.001544509,F8h
0.071764934,0.033824784,-0.028117564,F10h
-0.079124345,0.0073312,-0.026716745,FT9h
-0.077401209,0.013689131,0.004635821,FT7h
-0.069103461,0.020753249,0.035354014,FC5h
-0.047572568,0.026666679,0.060736876,FC3h
-0.017176674,0.029882832,0.07607805,FC1h
0.017495593,0.029738387,0.075881419,FC2h
0.048348595,0.026604512,0.061228248,FC4h
0.070230245,0.020110575,0.03557392,FC6h
0.07794102,0.01282414,0.004673581,FT8h
0.079328674,0.005731275,-0.025847183,FT10h
-0.084133045,-0.020763815,-0.02241403,T9h
-0.083058027,-0.01523932,0.011492294,T7h
-0.075498676,-0.009929493,0.046161253,C5h
-0.051722943,-0.005900316,0.073170178,C3h
-0.018603406,-0.003705576,0.088802787,C1h
0.018465854,-0.003972045,0.088457238,C2h
0.052279193,-0.006522926,0.073030256,C4h
